run number,run class,title,start date/time,stop date/time,config name,Gas,Pressure,Cathode,Micromegas,E-trans,MTHGEM,Ring,smartZAP,Field,Mesh Threshold,Comments
35,,,2021-07-01 13:27:10.954864,2021-07-01 13:27:26.340772,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
36,,,2021-07-01 13:31:10.931927,2021-07-01 13:31:26.362304,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
37,,,2021-07-01 13:36:52.006834,2021-07-01 13:51:13.171460,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
38,,,2021-07-01 19:54:13.295230,2021-07-01 19:54:38.676768,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
39,,,2021-07-01 20:02:29.016464,2021-07-01 20:02:44.137836,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
40,,,2021-07-01 20:04:44.695807,2021-07-01 20:05:00.152249,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
41,TEST,Alphas in AT-TPC with 300 Torr He - smartZAPs ON after changing Arduino,2021-07-01 20:09:00,2021-07-01 20:23:19,e20009,He,300.0,25.0,120.0,50.0,150.0,100.0,70.0,Missing,Missing,Missing
42,PULS,Good pulser run with 700 mV,2021-07-01 21:14:11,2021-07-01 21:14:55,e20009,,,,,,,,,Missing,Missing,Missing
43,JUNK,,2021-07-02 03:42:49,2021-07-02 03:47:49,e20009,,,,,,,,,Missing,Missing,Missing
44,,,2021-07-02 20:18:29.756660,2021-07-02 20:20:55.937092,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
45,BEAM,Boron10 (and others),2021-07-02 20:30:35,2021-07-02 20:31:05,e20009,He,300.0,25.0,100.0,50.0,160.0,100.0,0.0,Missing,Missing,Missing
46,TEST,Alphas in AT-TPC with 300 Torr H2,2021-07-07 19:25:27,2021-07-07 19:26:22,e20009,H2,300.0,30.0,300.0,50.0,500.0,100.0,0.0,Missing,Missing,Missing
47,TEST,Alphas in AT-TPC with 300 Torr H2,2021-07-07 19:44:23,2021-07-07 19:45:08,e20009,H2,300.0,30.0,300.0,50.0,550.0,100.0,0.0,Missing,Missing,Missing
48,TEST,Alphas in AT-TPC with 300 Torr H2,2021-07-07 20:14:14,2021-07-07 20:15:39,e20009,H2,300.0,30.0,300.0,50.0,550.0,100.0,0.0,Missing,Missing,Missing
49,TEST,Alphas in AT-TPC with 300 Torr H2,2021-07-07 20:22:23,2021-07-07 20:23:42,e20009,H2,300.0,30.0,300.0,50.0,550.0,100.0,0.0,Missing,Missing,Missing
50,JUNK,,2021-07-08 15:36:04,2021-07-08 15:40:40,e20009,,,,,,,,,Missing,Missing,Missing
51,JUNK,,2021-07-08 15:41:34,2021-07-08 15:42:10,e20009,,,,,,,,,Missing,Missing,Missing
52,PULS,,2021-07-08 15:45:50,2021-07-08 15:46:10,e20009,,,,,,,,,Missing,Missing,Missing
53,,,2021-07-08 15:52:49.998673,2021-07-08 15:53:10.486871,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
54,,,2021-07-08 15:56:00.155693,2021-07-08 15:56:19.890692,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
55,,,2021-07-08 16:00:25.191338,2021-07-08 16:00:44.961144,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
56,,,2021-07-08 16:32:05.268281,2021-07-08 16:32:20.337595,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
57,TEST,Alphas in AT-TPC with 740 Torr H2,2021-07-09 17:58:09,2021-07-09 18:00:45.575449,e20009,H2,740.0,60.0,420.0,50.0,1000.0,300.0,0.0,Missing,Missing,Missing
58,TEST,Alphas in AT-TPC with 740 Torr H2,2021-07-09 18:24:35,2021-07-09 18:45:00.294799,e20009,H2,740.0,60.0,600.0,50.0,1000.0,300.0,0.0,Missing,Missing,Missing
59,TEST,Alphas in AT-TPC with 300 Torr H2,2021-07-09 20:42:31,2021-07-09 20:45:07,e20009,H2,300.0,30.0,320.0,50.0,550.0,100.0,0.0,Missing,Missing,After realizing there was no bias on the MM in the previous runs 57-58. H2 gas bottle changed.
60,TEST,Alphas in AT-TPC with 530 Torr H2,2021-07-09 21:31:57,2021-07-09 21:34:17.255967,e20009,H2,530.0,50.0,370.0,50.0,650.0,100.0,0.0,Missing,Missing,Changed voltage supplies to external for Ring and MTHGEM1 (to be able to go to 5 kV)
