5.376344086021505291e+02,4.194260485651213899e-01
1.057347670250896044e+03,2.759381898454746351e-01
1.702508960573476543e+03,2.593818984547461848e-01
2.213261648745519324e+03,2.483443708609271439e-01
2.862903225806451246e+03,2.317880794701986935e-01
2.867383512544802670e+03,3.366445916114790271e-01
1.913082437275985285e+03,3.697571743929360388e-01
1.487455197132616377e+03,3.807947019867549687e-01
1.120071684587813706e+03,4.359823399558499513e-01
9.318996415770608337e+02,4.966887417218543432e-01
6.854838709677418365e+02,6.512141280353200834e-01
4.390681003584229529e+02,9.492273730684326338e-01
3.853046594982079114e+02,1.175496688741721973e+00
3.808243727598566011e+02,1.843267108167770729e+00
3.808243727598566011e+02,2.389624724061810479e+00
3.853046594982079114e+02,2.853200883002207533e+00
2.822580645161290249e+02,2.864238410596026796e+00
2.822580645161290249e+02,1.754966887417218402e+00
2.598566308243727008e+02,1.181015452538631383e+00
2.956989247311827285e+02,8.002207505518763586e-01
4.121863799283154322e+02,5.518763796909491592e-01
5.376344086021505291e+02,4.194260485651213899e-01
