1.020011947431302133e+03,2.693717137162598974e-01
2.886798088410991113e+03,2.238388667163720147e-01
2.903391742997477195e+03,1.666309307421538766e-01
9.951214655515727827e+02,1.724684752293189904e-01
4.973118279569891911e+02,1.888135997933813037e-01
2.374551971326164903e+02,2.980132450331126059e-01
1.792114695340501385e+02,3.532008830022075885e-01
1.388888888888889142e+02,6.567328918322294928e-01
1.299283154121864072e+02,1.931567328918322168e+00
1.209677419354839003e+02,2.864238410596026796e+00
2.598566308243727008e+02,2.853200883002207533e+00
2.553763440860215042e+02,1.539735099337748547e+00
2.329749103942651800e+02,1.269315673289183266e+00
2.553763440860215042e+02,9.161147902869757331e-01
2.867383512544802215e+02,7.339955849889625572e-01
2.867383512544802215e+02,7.339955849889625572e-01
4.077060931899641218e+02,5.022075055187638082e-01
5.913978494623655706e+02,3.697571743929360388e-01
5.913978494623655706e+02,3.697571743929360388e-01
1.020011947431302133e+03,2.693717137162598974e-01
